idmun,nmun,lat,lon,dh,ides
92,San Andrés Ixtlahuaca        ,17.0709,-96.8252,6,20
96,San Andrés Sinaxtla          ,17.4685,-97.2838,6,20
101,San Andrés Zabache           ,16.6001,-96.8577,6,20
106,San Antonio Acutla           ,17.744,-97.5003,6,20
115,San Bartolo Coyotepec        ,16.9583,-96.7077,6,20
118,San Bartolomé Quialana       ,16.9019,-96.5012,6,20
120,San Bartolomé Zoogocho       ,17.2408,-96.2431,6,20
129,San Cristóbal Suchixtlahuaca ,17.7276,-97.3667,6,20
132,San Dionisio Ocotlán         ,16.7464,-96.6808,6,20
138,San Francisco Cajonos        ,17.1721,-96.2515,6,20
139,San Francisco Chapulapa      ,17.941,-96.7544,6,20
140,San Francisco Chindúa        ,17.4286,-97.3128,6,20
142,San Francisco Huehuetlán     ,18.1976,-96.9478,6,20
147,San Francisco Nuxaño         ,17.3808,-97.344,6,20
148,San Francisco Ozolotepec     ,16.1005,-96.2207,6,20
155,San Ildefonso Sola           ,16.5198,-96.9837,6,20
158,San Jacinto Tlacotepec       ,16.5204,-97.38600000000001,6,20
163,San Jerónimo Tecóatl         ,18.1669,-96.9132,6,20
164,San Jorge Nuchita            ,17.656,-98.1061,6,20
167,San José del Peñasco         ,16.3161,-96.5014,6,20
169,San José Independencia       ,18.2398,-96.6461,6,20
178,San Juan Bautista Guelache   ,17.2265,-96.7785,6,20
191,San Juan Chicomezúchil       ,17.289,-96.4949,6,20
196,San Juan Evangelista Analco  ,17.4058,-96.5379,6,20
197,San Juan Guelavía            ,16.9568,-96.5458,6,20
215,San Juan Sayultepec          ,17.4535,-97.2847,6,20
219,San Juan Teitipac            ,16.9344,-96.6085,6,20
223,San Juan Yatzona             ,17.4024,-96.1692,6,20
224,San Juan Yucuita             ,17.5123,-97.2704,6,20
227,San Lorenzo Cacaotepec       ,17.1294,-96.802,6,20
245,San Martín Zacatepec         ,17.8079,-98.0609,6,20
246,San Mateo Cajonos            ,17.1618,-96.209,6,20
247,Capulálpam de Méndez         ,17.3064,-96.446,6,20
256,San Mateo Tlapiltepec        ,17.8106,-97.4312,6,20
257,San Melchor Betaza           ,17.2524,-96.1544,6,20
262,San Miguel Amatlán           ,17.2755,-96.4717,6,20
271,San Miguel Mixtepec          ,16.7781,-96.9573,6,20
276,San Miguel Santa Flor        ,17.9211,-96.7993,6,20
281,San Miguel Tecomatlán        ,17.394,-97.26799999999999,6,20
287,San Miguel Tulancingo        ,17.7512,-97.4415,6,20
288,San Miguel Yotao             ,17.3705,-96.3372,6,20
293,San Pablo Etla               ,17.1455,-96.7645,6,20
305,San Pedro Comitancillo       ,16.4903,-95.1599,6,20
308,San Pedro Huilotepec         ,16.2437,-95.1529,6,20
315,San Pedro Mártir             ,16.7445,-96.7122,6,20
320,San Pedro Molinos            ,17.1046,-97.5411,6,20
323,San Pedro Ocotepec           ,16.9554,-95.8468,6,20
331,San Pedro Tidaá              ,17.3408,-97.3773,6,20
332,San Pedro Topiltepec         ,17.4372,-97.3437,6,20
338,Villa de Etla                ,17.2075,-96.8006,6,20
343,San Sebastián Abasolo        ,16.9947,-96.5889,6,20
346,San Sebastián Nicananduta    ,17.5179,-97.6833,6,20
349,San Sebastián Teitipac       ,16.9514,-96.61399999999999,6,20
356,Santa Ana del Valle          ,16.9948,-96.4717,6,20
360,Santa Ana Zegache            ,16.8379,-96.7259,6,20
361,Santa Catalina Quierí        ,16.3222,-96.2659,6,20
362,Santa Catarina Cuixtla       ,16.3044,-96.6447,6,20
368,Santa Catarina Minas         ,16.7792,-96.6155,6,20
371,Santa Catarina Ticuá         ,17.0712,-97.5349,6,20
372,Santa Catarina Yosonotú      ,17.0205,-97.6621,6,20
374,Santa Cruz Acatepec          ,18.1638,-96.8753,6,20
58,Nicolás Ruíz                 ,16.4371,-92.5853,6,7
376,Santa Cruz de Bravo          ,17.5814,-98.22399999999999,6,20
380,Santa Cruz Papalutla         ,16.9595,-96.5849,6,20
381,Santa Cruz Tacache de Mina   ,17.8277,-98.1508,6,20
382,Santa Cruz Tacahua           ,16.9189,-97.4922,6,20
385,Santa Cruz Xoxocotlán        ,17.0273,-96.7344,6,20
387,Santa Gertrudis              ,16.7866,-96.7972,6,20
390,Santa Lucía del Camino       ,17.0641,-96.6947,6,20
399,Santa María Atzompa          ,17.1029,-96.7793,6,20
404,Santa María Chachoápam       ,17.5252,-97.2835,6,20
408,Santa María del Rosario      ,17.3518,-97.5938,6,20
430,Santa Marí Tataltepec        ,17.1425,-97.3951,6,20
432,Santa Marí Temaxcalapa       ,17.3811,-96.1625,6,20
433,Santa Marí Temaxcaltepec     ,16.1631,-97.1947,6,20
438,Santa Marí Tlalixtac         ,17.9517,-96.7381,6,20
445,Santa Marí Yosoyúa           ,17.1202,-97.5148,6,20
456,Santiago Cacaloxtepec        ,17.7202,-97.7405,6,20
471,Santiago Lalopa              ,17.418,-96.2486,6,20
479,Santiago Nejapilla           ,17.4203,-97.3726,6,20
488,Santiago Tepetlapa           ,17.7826,-97.4015,6,20
490,Santiago Texcalcingo         ,18.2082,-96.9688,6,20
497,Santiago Yaitepec            ,16.2256,-97.2694,6,20
508,Santo Domingo Chihuitán      ,16.5919,-95.1624,6,20
518,Santo Domingo Tlatayápam     ,17.4075,-97.34700000000001,6,20
519,Santo Domingo Tomaltepec     ,17.0604,-96.6244,6,20
521,Santo Domingo Tonaltepec     ,17.6109,-97.3601,6,20
524,Santo Domingo Yodohino       ,17.6169,-97.68299999999999,6,20
533,Santo Tomás Tamazulapan      ,16.272,-96.5858,6,20
541,Tanetze de Zaragoza          ,17.3767,-96.3022,6,20
547,Teotongo                     ,17.7263,-97.5367,6,20
13,Altepexi                     ,18.3668,-97.2992,6,21
14,Amixtlán                     ,20.0494,-97.7989,6,21
17,Atempan                      ,19.8399,-97.4593,6,21
20,Atoyatempan                  ,18.8226,-97.9137,6,21
21,Atzala                       ,18.5448,-98.5543,6,21
28,Camocuautla                  ,20.0385,-97.7577,6,21
34,Coronango                    ,19.1311,-98.3081,6,21
52,Chigmecatitlán               ,18.6456,-98.0756,6,21
63,Esperanza                    ,18.8584,-97.3751,6,21
77,Hueytlalpan                  ,20.0257,-97.6987,6,21
79,Huitziltepec                 ,18.7694,-97.8808,6,21
84,Ixtepec                      ,20.0249,-97.6468,6,21
88,Jonotla                      ,20.0304,-97.5749,6,21
95,La Magdalena Tlatlauquitepec ,18.7585,-98.1007,6,21
96,Mazapiltepec de Juárez       ,19.1193,-97.7035,6,21
97,Mixtla                       ,18.903,-97.8953,6,21
101,Nauzontla                    ,19.959,-97.6031,6,21
102,Nealtican                    ,19.0509,-98.4277,6,21
122,San Felipe Teotlalcingo      ,19.2357,-98.4955,6,21
123,San Felipe Tepatlán          ,20.0913,-97.7962,6,21
125,San Gregorio Atzompa         ,19.0267,-98.3458,6,21
131,San Juan Atzompa             ,18.7461,-98.0243,6,21
133,San Martín Totoltepec        ,18.6492,-98.3464,6,21
134,San Matías Tlalancaleca      ,19.3244,-98.4982,6,21
91,Tapilula                     ,17.2484,-93.0163,6,7
144,San Salvador Huixcolotla     ,18.9206,-97.7718,6,21
146,Santa Catarina Tlaltempan    ,18.6143,-98.0799,6,21
148,Santa Isabel Cholula         ,18.9946,-98.3792,6,21
151,Santo Tomás Hueyotlipan      ,18.8911,-97.8672,6,21
165,Tepemaxalco                  ,18.7356,-98.6291,6,21
171,Tepeyahualco de Cuauhtémoc   ,18.8131,-97.87799999999999,6,21
173,Teteles de Avila Castillo    ,19.8583,-97.4572,6,21
181,Tlaltenango                  ,19.17,-98.3443,6,21
182,Tlanepantla                  ,18.8654,-97.8874,6,21
187,Tlaxco                       ,20.4237,-98.0287,6,21
204,Yaonáhuac                    ,19.8709,-97.4664,6,21
211,Zaragoza                     ,19.7714,-97.5556,6,21
215,Zongozotla                   ,19.9786,-97.7267,6,21
113,Aldama                       ,16.9178,-92.6882,6,7
2,Apetatitlán de Antonio Carvaj,19.3323,-98.1968,6,29
9,Cuaxomulco                   ,19.3558,-98.1031,6,29
11,Muñoz de Domingo Arenas      ,19.476,-98.2089,6,29
17,Mazatecochco de José María Mo,19.1797,-98.1907,6,29
19,Tepetitla de Lardizábal      ,19.2675,-98.382,6,29
23,Natívitas                    ,19.2345,-98.3152,6,29
25,San Pablo del Monte          ,19.1197,-98.1704,6,29
26,Santa Cruz Tlaxcala          ,19.3558,-98.1504,6,29
27,Tenancingo                   ,19.1478,-98.2025,6,29
33,Tlaxcala                     ,19.3166,-98.2376,6,29
35,Tocatlán                     ,19.3905,-98.0319,6,29
36,Totolac                      ,19.3256,-98.2584,6,29
38,Tzompantepec                 ,19.3761,-98.0912,6,29
39,Xaloztoc                     ,19.4042,-98.0488,6,29
41,Papalotla de Xicohténcatl    ,19.1699,-98.2046,6,29
43,Yauhquemehcan                ,19.405,-98.184,6,29
44,Zacatelco                    ,19.2161,-98.2402,6,29
51,San Jerónimo Zacualpan       ,19.2417,-98.2626,6,29
55,San Lucas Tecopilco          ,19.4836,-98.255,6,29
60,Santa Isabel Xiloxoxtla      ,19.2681,-98.2136,6,29
2,Acatlán                      ,19.6969,-96.8422,6,30
17,Apazapan                     ,19.3204,-96.7186,6,30
19,Astacinga                    ,18.5668,-97.1021,6,30
26,Banderilla                   ,19.5916,-96.9409,6,30
28,Boca del Río                 ,19.1054,-96.1067,6,30
52,Cuichapa                     ,18.7735,-96.8692,6,30
64,Chumatlán                    ,20.2075,-97.5946,6,30
67,Filomeno Mata                ,20.2002,-97.7037,6,30
68,Fortín                       ,18.9037,-96.9993,6,30
74,Huiloapan de Cuauhtémoc      ,18.8166,-97.1559,6,30
96,Landero y Coss               ,19.7352,-96.8516,6,30
103,Mecatlán                     ,20.2107,-97.6817,6,30
113,Naranjal                     ,18.8108,-96.9613,6,30
116,Oluta                        ,17.9282,-94.8969,6,30
118,Orizaba                      ,18.851,-97.0989,6,30
